name_full,team,pos,ADP,GP,MIN,Weighted_GP,GP_Median,Durability_Composite,Durability_Penalty,Seasons_Used,IronMan_Score,IronMan_Rank,DurabilityZ,MinutesZ,ValueZ
Jayson Tatum,BOS,"SF,PF",128.0,72,2623.8166666666666,72.80000000000001,74.0,73.11555555555556,0.04444444444444445,"2024-25,2023-24,2022-23",1.3354002167251628,1,1.2796892705406986,1.751217084070476,0.998956755396519
Nikola Jokić,DEN,C,1.1,70,2570.765,72.60000000000002,70.0,70.80888888888892,1.011111111111111,"2024-25,2023-24,2022-23",1.2531749872258189,2,1.1817487559312507,1.7811297308867828,1.6045582565376195
Brook Lopez,LAC,C,136.6,80,2546.07,79.50000000000001,79.0,79.31666666666668,0.03333333333333333,"2024-25,2023-24,2022-23",1.2394809066418544,3,1.5429869641993377,1.2638552581165323,0.6901929895009205
Tyrese Haliburton,IND,"PG,SG",117.8,73,2450.391666666667,70.1,69.0,67.13666666666666,2.6333333333333333,"2024-25,2023-24,2022-23",1.195932555162332,4,1.0258270792529116,1.4476849926678892,1.1144457038340727
Mikal Bridges,NYK,"SF,PF",81.8,82,3036.076666666667,82.10000000000001,82.0,82.05888888888889,0.011111111111111112,"2024-25,2023-24,2022-23",1.1772025720467933,5,1.659421063455657,1.8128155782202366,0.4580374644388355
Josh Hart,NYK,"SG,SF,PF",50.5,77,2896.83,78.10000000000002,77.0,77.53666666666668,0.23333333333333336,"2024-25,2023-24,2022-23",1.1646025044721269,6,1.4674085902088092,1.8757250197816486,0.7667013995005383
Shai Gilgeous-Alexander,OKC,PG,3.8,76,2597.63,74.9,75.0,74.29666666666667,0.6333333333333333,"2024-25,2023-24,2022-23",1.1366591631154286,7,1.3298389656417795,1.512335386775277,1.2840824589539286
Christian Braun,DEN,"SG,SF",97.0,79,2675.383333333333,79.60000000000002,79.0,79.12000000000002,0.30000000000000004,"2024-25,2023-24,2022-23",1.1249058112710875,8,1.5346365446011336,1.4792115997986464,0.5316610947409331
Keegan Murray,SAC,"SF,PF",107.2,76,2610.173333333333,76.70000000000002,77.0,76.64555555555556,0.14444444444444446,"2024-25,2023-24,2022-23",1.116549732526343,9,1.4295722257016905,1.5297607926321235,0.5320307550062261
Anthony Edwards,MIN,"PG,SG",7.1,79,2871.0583333333334,79.00000000000001,79.0,79.0,0.0,"2024-25,2023-24,2022-23",1.1131212963067383,10,1.5295413733208725,1.7407236960445034,0.892405096709348
Jaden McDaniels,MIN,"SF,PF",105.3,82,2614.41,78.70000000000002,79.0,77.91222222222223,0.8777777777777778,"2024-25,2023-24,2022-23",1.0826239902846049,11,1.4833545892155497,1.2698916918953367,0.5342712082344093
Derrick White,BOS,"PG,SG",39.7,76,2573.615,75.70000000000002,76.0,75.09,0.7000000000000001,"2024-25,2023-24,2022-23",1.0465651222299186,12,1.3635237091057228,1.4789733520966541,0.8358414574523603
